Date,Cal_Index
2020-01-01,100.0
2020-01-02,100.81034054188419
2020-01-03,101.21053939845885
2020-01-06,100.22868506089983
2020-01-07,100.37285607755409
2020-01-08,99.88317176236642
2020-01-09,99.95028585632613
2020-01-10,98.62291822023367
2020-01-13,98.9311459110117
2020-01-14,98.51603281133484
2020-01-15,98.51106139696745
2020-01-16,98.33457618692519
2020-01-17,97.90454884414616
2020-01-20,97.65846383296048
2020-01-21,97.82252050708426
2020-01-22,98.0064628386776
2020-01-23,98.50857568978377
2020-01-24,98.12826249067862
2020-01-27,97.64106388267463
2020-01-28,97.08675118071092
2020-01-29,96.87049465572956
2020-01-30,96.15709669400945
2020-01-31,96.59955257270695
2020-02-03,97.36763609246832
2020-02-04,97.2556012249729
2020-02-05,96.56238548234508
2020-02-06,96.75144432124357
2020-02-07,96.42934407719427
2020-02-10,97.02686337050311
2020-02-11,96.39666724084144
2020-02-12,96.38966506162299
2020-02-13,96.32897950839632
2020-02-14,96.32197732917784
2020-02-17,97.21358814966213
2020-02-18,96.52970864599226
2020-02-19,96.33131356813578
2020-02-20,95.1526133996945
2020-02-21,95.65443624368437
2020-02-24,95.93452341242288
2020-02-25,96.17959968506908
2020-02-26,95.61475722811306
2020-02-27,95.64276594498693
2020-02-28,95.21796707240016
2020-03-02,98.24048326781092
2020-03-03,98.65189675083593
2020-03-04,97.98536094034849
2020-03-05,98.04282092401118
2020-03-06,97.52568107104679
2020-03-09,97.34410752267262
2020-03-10,96.60861973178993
2020-03-11,96.64309572198755
2020-03-12,96.5488613487807
2020-03-13,96.21559344353697
2020-03-16,96.83156446840123
2020-03-17,97.33491392528657
2020-03-18,97.58543945405602
2020-03-19,97.27975234097039
2020-03-20,97.08438839651717
2020-03-23,96.70055570565026
2020-03-24,96.80398367624313
2020-03-25,95.49619444807982
2020-03-26,95.3261128964382
2020-03-27,95.58813042194015
2020-03-30,95.83635755136306
2020-03-31,94.55155231666485
2020-04-01,96.34092132045014
2020-04-02,96.1282188585863
2020-04-03,96.6932097729121
2020-04-06,96.41625344236024
2020-04-07,97.09867384084005
2020-04-08,97.14077120308391
2020-04-09,96.61344634971319
2020-04-10,96.45835080460412
2020-04-13,96.98789130861931
2020-04-14,97.18951551726104
2020-04-15,97.49749095683472
2020-04-16,98.27075303173555
2020-04-17,97.5373726684342
2020-04-20,97.05214517730734
2020-04-21,96.25894224660678
2020-04-22,97.1186146966398
2020-04-23,97.97164019473952
2020-04-24,98.78699963188421
2020-04-27,99.95021622020207
2020-04-28,99.36528445007652
2020-04-29,99.12156287919088
2020-04-30,98.871194356372
2020-05-01,101.66735660733175
2020-05-04,101.55245787293828
2020-05-05,101.21001458611856
2020-05-06,100.63777383051189
2020-05-07,100.38319428175772
2020-05-08,100.29307762733148
2020-05-11,99.65099646454448
2020-05-12,99.70731937356089
2020-05-13,98.98413322179024
2020-05-14,98.74757700392132
2020-05-15,98.79263533113446
2020-05-18,98.74532408756068
2020-05-19,99.30404734500341
2020-05-20,99.50455690110182
2020-05-21,100.07454474034783
2020-05-22,99.71858395536415
2020-05-25,99.80419477706907
2020-05-26,99.27250651595423
2020-05-27,99.53384481379035
2020-05-28,99.79968894434778
2020-05-29,100.3426417872659
2020-06-01,98.78121745296608
2020-06-02,98.34149388878085
2020-06-03,98.69112774713301
2020-06-04,97.36766706858528
2020-06-05,97.21966255185951
2020-06-08,96.71558919779353
2020-06-09,96.39169525539367
2020-06-10,97.55428145923948
2020-06-11,97.93609021253201
2020-06-12,98.39726370667752
2020-06-15,98.270709119912
2020-06-16,97.9253652475519
2020-06-17,97.66153110904078
2020-06-18,96.76921402269416
2020-06-19,96.31233051454072
2020-06-22,96.94510344836826
2020-06-23,96.23940075267586
2020-06-24,94.83014035428712
2020-06-25,95.19478916361146
2020-06-26,95.3084737924008
2020-06-29,95.07466955583402
2020-06-30,95.84043205541512
2020-07-01,98.70798228089987
2020-07-02,99.6308520802571
2020-07-03,99.97394249978286
2020-07-06,99.4289064535742
2020-07-07,99.91531312429429
2020-07-08,100.16720229306004
2020-07-09,100.4907495874229
2020-07-10,101.78276730652307
2020-07-13,101.11395813428301
2020-07-14,101.71979501433164
2020-07-15,101.38104751150871
2020-07-16,102.63397898028317
2020-07-17,103.51341961261183
2020-07-20,103.93685399114045
2020-07-21,103.52861982107184
2020-07-22,103.37010336141752
2020-07-23,103.83479544862331
2020-07-24,104.31251628593763
2020-07-27,104.21697211847476
2020-07-28,103.38313211152612
2020-07-29,103.45913315382609
2020-07-30,104.56223399635194
2020-07-31,103.90645357422044
2020-08-03,106.21906417053479
2020-08-04,105.28411465780847
2020-08-05,105.01792903183227
2020-08-06,104.78694150515871
2020-08-07,104.05218118221613
2020-08-10,103.54400862353432
2020-08-11,103.78599555623995
2020-08-12,104.28976835250899
2020-08-13,103.70459995160262
2020-08-14,103.90698902259278
2020-08-17,103.52200981147017
2020-08-18,103.34161955254415
2020-08-19,104.05218118221615
2020-08-20,104.07637987548672
2020-08-21,103.47801218734188
2020-08-24,104.57795279054932
2020-08-25,103.95098664672109
2020-08-26,105.3919088369228
2020-08-27,105.9682777130035
2020-08-28,106.31585894361703
2020-08-31,105.59209802670655
2020-09-01,99.97100488774748
2020-09-02,100.23196089802005
2020-09-03,99.81567392925193
2020-09-04,99.93786761660178
2020-09-07,99.62513462016402
2020-09-08,98.70350426642365
2020-09-09,98.91268329053102
2020-09-10,98.98724215060888
2020-09-11,99.16949714191036
2020-09-14,99.15292850633749
2020-09-15,98.92925192610387
2020-09-16,99.52158064783364
